attack_subcategory,PyPDF,PDFMiner,PDFPlumber,PyMuPDF,PyMuPDF4LLM,PyPDFium2,OpenDataLoader,Unstructured,Docling
White text,0.9816,0.9789,0.9774,0.9808,0.9312,0.9791,0.0186,0,0
Zero Size,0.9728,0.9694,0.9679,0.9736,0.9658,0.9711,0.0124,0,0
Double Layer PDF,0.9587,0.9524,0.9498,0.9603,0.9461,0.9556,0.9184,0,0
TRM,0.9862,0.9838,0.9825,0.9871,0.9807,0.9846,0.0213,0,0
Out-of-bound,0.9795,0.9768,0.9752,0.9802,0.9734,0.9781,0.0147,0,0
OCG,0.9516,0.9469,0.9448,0.9538,0.9417,0.9491,0.0116,0,0
Misaligned,0.7236,0.6664,0.6941,0.7152,0.5788,0.7986,0.7421,0,0
Zero Width,0.9348,0.9296,0.9274,0.9361,0.9218,0.9327,0.0058,0,0
